Symbol,Name,Sector,Location,CIK,Founded
CMG,Chipotle Mexican Grill,Consumer Discretionary,"Denver, Colorado","0001058090
","
"
CB,Chubb Limited,Financials,"Zurich, Switzerland","0000896159
","
"
CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey","0000313927
","
"
CI,CIGNA Corp.,Health Care,"Bloomfield, Connecticut","0000701221
","
"
XEC,Cimarex Energy,Energy,"Denver, Colorado","0001168054
","
"
CINF,Cincinnati Financial,Financials,"Fairfield, Ohio","0000020286
","
"
CTAS,Cintas Corporation,Industrials,"Mason, Ohio","0000723254
","
"
CSCO,Cisco Systems,Information Technology,"San Jose, California","0000858877
","
"
C,Citigroup Inc.,Financials,"New York, New York","0000831001
","
"
CFG,Citizens Financial Group,Financials,"Providence, Rhode Island","0000759944
","
"
CTXS,Citrix Systems,Information Technology,"Fort Lauderdale, Florida","0000877890
","
"
CME,CME Group Inc.,Financials,"Chicago, Illinois","0001156375
","
"
CMS,CMS Energy,Utilities,"Jackson, Michigan","0000811156
","
"
KO,Coca-Cola Company (The),Consumer Staples,"Atlanta, Georgia",0000021344,"1886
"
CTSH,Cognizant Technology Solutions,Information Technology,"Teaneck, New Jersey","0001058290
","
"
CL,Colgate-Palmolive,Consumer Staples,"New York, New York",0000021665,"1806
"
CMCSA,Comcast Corp.,Consumer Discretionary,"Philadelphia, Pennsylvania","0001166691
","
"
CMA,Comerica Inc.,Financials,"Dallas, Texas","0000028412
","
"
CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois","0000023217
","
"
CXO,Concho Resources,Energy,"Midland, Texas","0001358071
","
"
COP,ConocoPhillips,Energy,"Houston, Texas",0001163165,"2002
"
ED,Consolidated Edison,Utilities,"New York, New York",0001047862,"1823
"
STZ,Constellation Brands,Consumer Staples,"Victor, New York","0000016918
","
"
CPRT,Copart Inc,Industrials,"Dallas, Texas","0000900075
","
"
GLW,Corning Inc.,Information Technology,"Corning, New York",0000024741,"1851
"
COST,Costco Wholesale Corp.,Consumer Staples,"Issaquah, Washington","0000909832
","
"
COTY,"Coty, Inc",Consumer Staples,"New York, New York","0001024305
","
"
CCI,Crown Castle International Corp.,Real Estate,"Houston, Texas","0001051470
","
"
CSX,CSX Corp.,Industrials,"Jacksonville, Florida",0000277948,"1980
"
CMI,Cummins Inc.,Industrials,"Columbus, Indiana",0000026172,"1919
"
CVS,CVS Health,Consumer Staples,"Woonsocket, Rhode Island",0000064803,"1996
"
DHI,D. R. Horton,Consumer Discretionary,"Fort Worth, Texas",0000882184,"1978
"
DHR,Danaher Corp.,Health Care,"Washington, D.C.",0000313616,"1969
"
DRI,Darden Restaurants,Consumer Discretionary,"Orlando, Florida",0000940944,"1938
"
DVA,DaVita Inc.,Health Care,"Denver, Colorado","0000927066
","
"
DE,Deere & Co.,Industrials,"Moline, Illinois",0000315189,"1837
"
DAL,Delta Air Lines Inc.,Industrials,"Atlanta, Georgia","0000027904
","
"
XRAY,Dentsply Sirona,Health Care,"York, Pennsylvania","0000818479
","
"
DVN,Devon Energy Corp.,Energy,"Oklahoma City, Oklahoma","0001090012
","
"
DLR,Digital Realty Trust Inc,Real Estate,"San Francisco, California","0001297996
","
"
DFS,Discover Financial Services,Financials,"Riverwoods, Illinois","0001393612
","
"
DISCA,Discovery Inc. Class A,Consumer Discretionary,"Silver Spring, Maryland","0001437107
","
"
DISCK,Discovery Inc. Class C,Consumer Discretionary,"Silver Spring, Maryland","0001437107
","
"
DISH,Dish Network,Consumer Discretionary,"Meridian, Colorado","0001001082
","
"
DG,Dollar General,Consumer Discretionary,"Goodlettsville, Tennessee","0000029534
","
"
DLTR,Dollar Tree,Consumer Discretionary,"Chesapeake, Virginia","0000935703
","
"
D,Dominion Energy,Utilities,"Richmond, Virginia",0000715957,"1983
"
DOV,Dover Corp.,Industrials,"Downers Grove, Illinois","0000029905
","
"
